892001		WC-32强-JOR-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_JOR		DK_WC_Badge_JOR								约旦				1000	202													
892002		WC-32强-IRN-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_IRN		DK_WC_Badge_IRN								伊朗				1000	202													
892003		WC-32强-UZB-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_UZB		DK_WC_Badge_UZB								乌兹别克斯坦				1000	202													
892004		WC-32强-IRQ-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_IRQ		DK_WC_Badge_IRQ								伊拉克				1000	202													
892005		WC-32强-MAR-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_MAR		DK_WC_Badge_MAR								摩洛哥				1000	202													
892006		WC-32强-CUW-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_CUW		DK_WC_Badge_CUW								库拉索				1000	202													
892007		WC-32强-BEL-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_BEL		DK_WC_Badge_BEL								比利时				1000	202													
892008		WC-32强-KOR-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_KOR		DK_WC_Badge_KOR								韩国				1000	202													
892009		WC-32强-BIH-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_BIH		DK_WC_Badge_BIH								波黑				1000	202													
892010		WC-32强-ARG-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_ARG		DK_WC_Badge_ARG								阿根廷				1000	202													
892011		WC-32强-USA-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_USA		DK_WC_Badge_USA								美国				1000	202													
892012		WC-32强-ENG-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_ENG		DK_WC_Badge_ENG								英格兰				1000	202													
892013		WC-32强-HAI-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_HAI		DK_WC_Badge_HAI								海地				1000	202													
892014		WC-32强-MEX-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_MEX		DK_WC_Badge_MEX								墨西哥				1000	202													
892015		WC-32强-ESP-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_ESP		DK_WC_Badge_ESP								西班牙				1000	202													
892016		WC-32强-EGY-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_EGY		DK_WC_Badge_EGY								埃及				1000	202													
892017		WC-32强-CPV-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_CPV		DK_WC_Badge_CPV								佛得角				1000	202													
892018		WC-32强-CIV-$4.99				4.99	105		16			1	291101					1		1					DK_WC_TeamPanel_CIV		DK_WC_Badge_CIV								科特迪瓦				1000	202													
